Id	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
100000	1	0	3	2	2	2	1	0	4	7	3	1
100001	1	0	3	3	2	0	0	1	1	10	0	2
100002	1	1	2	4	0	0	2	0	0	0	5	1
100003	0	0	1	4	1	1	2	1	1	2	1	1
100004	1	0	5	2	5	0	0	1	1	8	3	1
100005	0	0	1	0	3	0	0	0	5	2	0	2
100006	0	1	5	3	0	2	2	0	1	6	2	0
100007	0	0	3	3	2	1	1	0	4	9	1	0
100008	1	1	2	3	1	2	1	0	1	1	2	1
100009	0	1	2	4	1	0	1	1	2	3	4	0
100010	1	1	1	0	3	2	0	0	1	0	5	2
100011	1	1	2	5	3	0	0	0	0	3	4	0
100012	1	1	2	1	1	0	0	0	3	9	1	2
100013	0	0	0	5	1	1	2	1	1	3	5	1
100014	0	0	5	1	0	0	1	1	5	8	3	0
100015	1	1	4	2	3	1	2	1	4	3	5	0
100016	0	1	3	3	3	0	2	1	2	5	2	2
100017	1	0	3	0	0	2	0	1	3	2	0	0
100018	1	0	1	2	3	0	1	1	2	7	2	0
100019	0	1	1	0	0	1	2	0	0	8	1	0
100020	1	0	4	4	1	0	0	1	1	2	4	2
100021	1	1	3	4	3	1	0	1	1	6	0	0
100022	1	1	2	5	2	0	2	0	5	0	5	1
100023	1	1	5	0	3	0	2	0	0	10	5	2
100024	1	0	2	3	3	0	0	0	1	4	5	1
100025	1	1	0	5	5	1	2	0	5	9	1	0
100026	0	1	4	2	3	1	2	0	2	0	5	2
100027	0	1	4	1	5	0	2	1	1	7	1	0
100028	1	1	0	2	4	2	0	1	5	3	3	1
100029	0	0	0	3	5	2	0	1	5	4	1	1
100030	0	1	1	2	5	1	2	1	1	6	5	0
100031	1	1	0	3	2	2	2	0	3	6	1	0
100032	1	1	0	0	5	0	1	1	1	6	4	1
100033	1	1	0	5	5	1	2	0	2	6	1	2
100034	0	1	1	0	0	2	1	0	0	4	5	1
100035	1	1	1	0	4	1	1	1	1	6	3	0
