True Id;Source;Site name;Address;Zip;Phone;Fax;Program Name;Length of Day;IDHS Provider ID;Agency;Neighborhood;Funded Enrollment;Program Option;Number per Site EHS;Number per Site HS;Director;Head Start Fund;Eearly Head Start Fund;CC fund;Progmod;Website;Executive Director;Center Director;ECE Available Programs;NAEYC Valid Until;NAEYC Program Id;Email Address;Ounce of Prevention Description;Purple binder service type;Column;Column2
482060651;chapin_dfss_providers_2011_070212.csv;CHICAGO PUBLIC SCHOOLS MCNAIR ACADEMY CENTER, RONALD E.;4820 W WALTON ;60651;5348980;;;;;;;CHICAGO PUBLIC SCHOOLS;AUSTIN;;;;;Dr. Shirley  Dillard;Yes;No;No;;;;;;;;;;
482060651;DFSS_AgencySiteLies_2012.csv;Chicago Public Schools McNair Academy Center, Ronald E.;4820 W. Walton ;60651;5348980;;;;;;;Chicago Public Schools;;;;;;;;;;;www.cps.edu;Paula Cottone;Dr. Shirley Dillard;;;;;;
482060651;ECE Chicago Find a School scrape.csv; McNair Acad Ctr;4820 W. Walton ;60651;5348980;;;;;;Austin;;;;;;;;;;;;;HS-HD;;;;;;;
483760644;CPS_Early_Childhood_Portal_scrape.csv; Nash;4837 W. Erie ;;5346125;;Head Start;5-6 hours;;;;;;;;;;;;;;;;;;;;;;;
483760644;chapin_dfss_providers_2011_070212.csv;CHICAGO PUBLIC SCHOOLS NASH, HENRY H.;4837 W ERIE ST ;60644;5346125;;;;;;;CHICAGO PUBLIC SCHOOLS;AUSTIN;;;;;Ms. Tresa D.  Dunbar;Yes;No;No;;;;;;;;;;
483760644;DFSS_AgencySiteLies_2012.csv;Chicago Public Schools Nash, Henry H.;4837 W. Erie St. ;60644;5346125;;;;;;;Chicago Public Schools;;;;;;;;;;;www.cps.edu;Paula Cottone;Ms. Tresa D. Dunbar;;;;;;
483760644;ECE Chicago Find a School scrape.csv; Nash;4837 W. Erie ;60644;5346125;;;;;;Austin;;;;;;;;;;;;;HS-HD;;;;;;;
484360639;chapin_dfss_providers_2011_070212.csv;CHICAGO COMMONS ASSOCIATION JOYFUL NOISE DAY CARE;4843 W NORTH AVE ;60639;2525990;;;;;;;CHICAGO COMMONS ASSOCIATION;AUSTIN;;;;;Mary Gonzalez;Yes;No;No;;;;;;;;;;
484360639;DFSS_AgencySiteLies_2012.csv;Chicago Commons Association Joyful Noise Day Care;4843 W North Ave ;60639;2525990;;;;;;;Chicago Commons Association;;;;;;;;;;;www.chicagocommons.org;Dan Valliere;Maria Gonzalez;;;;;;
484860630;chapin_dfss_providers_2011_070212.csv;ERIE NEIGHBORHOOD HOUSE FCCH-MARIA YOLANDA GUERRO SITE;4848 N KEELER ST ;60630;4322213;;;;;;;ERIE NEIGHBORHOOD HOUSE;ALBANY PARK;;;;;Cynthia Suarez;No;Yes;No;5686IP(EHS Collaboration Enhanced Home IP), 5689IT(Child Car;;;;;;;;;
484860640;CPS_Early_Childhood_Portal_scrape.csv; Lutheran Social Services of Illinois - Winthrop Children's Center / LSSI;4848 N Winthrop Ave ;;8783210;;Child Care;EXTENDED DAY;;;;;;;;;;;;;;;;;;;;;;;
484860640;CPS_Early_Childhood_Portal_scrape.csv; Lutheran Social Services Winthrop;4848 N. Winthrop ;;8783210;;Community Partnerships;8-11 Hours, varies by facility;;;;;;;;;;;;;;;;;;;;;;;
484860640;CPS_Early_Childhood_Portal_scrape.csv; Lutheran Social Services of Illinois - Winthrop Children's Center / LSSI;4848 N Winthrop Ave ;;8783210;;Head Start;HALF DAY/FULL DAY;;;;;;;;;;;;;;;;;;;;;;;
484860640;chapin_dfss_providers_2011_070212.csv;LUTHERAN SOCIAL SERVICES OF ILLINOIS WINTHROP CHILDREN'S CENTER;4848 N WINTHROP ;60640;8783210;;;;;;;LUTHERAN SOCIAL SERVICES OF ILLINOIS;UPTOWN;;;;;;Yes;No;No;2664IT(Child Care IT Center), 7133PS(HS Collaboration with C;;;;;;;;;
484860640;DFSS_AgencySiteLies_2012.csv;Lutheran Social Services of Illinois WINTHROP CHILDREN'S CENTER;4848 N. Winthrop ;60640;8783210;;;;;;;Lutheran Social Services of Illinois;;;;;;;;;;;www.lssi.org;John Schnier;;;;;;;
484860640;ECE Chicago Find a School scrape.csv; Lutheran Social Services-Winthrop;4848 N. Winthrop ;60640;8783210;;;;;;Uptown;;;;;;;;;;;;;CP;;;;;;;
484860640;NAEYC_accreditation.csv; Winthrop Children's Center;4848 North Winthrop  ;60640;8783210;;;;;;;;;;;;;;;;;;;;;;09/30/12;395889;;;
484860640;purple_binder_early_childhood.csv; Lutheran Social Services - Winthrop Children's Center;4848 N Winthrop Avenue ;60640;8783210;;;;;;;;;;;;;;;;;;;;;;;;;;Child Care
485960615;chapin_ounce_providers_2011_071112.csv;Healthy Parents and Babies Program (Directly Operated Programs) Hayes Center;4859 S. Wabash Ave. 2nd floor ;60615;3738670;;;;;Healthy Parents and Babies Program (Directly Operated Programs);Grand Boulevard, Kenwood, Washington Park Brighton Park  McKinley Park West Humboldt Park ;57  Early Head Start;Early Head Start Services to Pregnant Women  Early Head Start  Home Based;57;--     ;;;;;;;;;;;;;;;;
485960615;Ounce of Prevention - Site Locations.csv; Ounce of Prevention Fund - Doula Home Visiting;Hayes Center 4859 S. Wabash ;60615;3738670;;;;;;;;;;;;;;;;;;;;;;;Grand Boulevard Community  Serves children ages 0-5;;;
490660625;chapin_dfss_providers_2011_070212.csv;ERIE NEIGHBORHOOD HOUSE FCCH-PATRICIA CASTANDA SITE;4906 N LAWNDALE ;60625;4322213;;;;;;;ERIE NEIGHBORHOOD HOUSE;ALBANY PARK;;;;;Cythnia Suarez;No;Yes;No;5679IP(EHS Collaboration Enhanced Home IP), 5680IT(Child Car;;;;;;;;;
490860625;CPS_Early_Childhood_Portal_scrape.csv; Ravenswood Community Child Care;4908 N. Damen ;;2714495;;Community Partnerships;8-11 Hours, varies by facility;;;;;;;;;;;;;;;;;;;;;;;
490860625;ECE Chicago Find a School scrape.csv; Ravenswood Community CCC;4908 N. Damen ;60625;2714495;;;;;;Lincoln Square;;;;;;;;;;;;;CP;;;;;;;
490860625;NAEYC_accreditation.csv; Ravenswood Community Child Care Center;4908 North Damen Avenue  ;60625;2714495;;;;;;;;;;;;;;;;;;http://rc4cares.com;;;;09/30/12;600291;directorrc4cares@gmail.com;;
490960651;CPS_Early_Childhood_Portal_scrape.csv; Westside Holistic Family Services - Westside Holistic Family Service;4909 W Division St ;;9218777;;Head Start;HALF DAY/FULL DAY;;;;;;;;;;;;;;;;;;;;;;;
490960651;chapin_dfss_providers_2011_070212.csv;WESTSIDE HOLISTIC FAMILY SERVICES WESTSIDE HOLISTIC FAMILY SERVICES;4909 W DIVISION ;60651;9218777;;;;;;;WESTSIDE HOLISTIC FAMILY SERVICES;AUSTIN;;;;;Florence Merritt;Yes;No;No;;;;;;;;;;
490960651;DFSS_AgencySiteLies_2012.csv;Westside Holistic Family Services WESTSIDE HOLISTIC FAMILY SERVICES;4909 W. Division ;60651;9218777;;;;;;;Westside Holistic Family Services;;;;;;;;;;;;Jo Anne Anderson;Florence Merritt;;;;;;
490960651;ECE Chicago Find a School scrape.csv; ChildServ Humboldt;4909 W. Division ;60651;8677350;;;;;;Austin;;;;;;;;;;;;;CP;;;;;;;
490960651;ECE Chicago Find a School scrape.csv; ChildServ Lawndale;4909 W. Division ;60651;8677350;;;;;;North Lawndale;;;;;;;;;;;;;CP;;;;;;;
490960651;NAEYC_accreditation.csv; Westside Holistic Family Services ;4909 West Division Street 1st Floor ;60651;9218887;;;;;;;;;;;;;;;;;;http://www.westsideholistic.org;;;;02/01/17;531882;;;
491060615;CPS_Early_Childhood_Portal_scrape.csv; Firman Community Services - Firman House East;4910 S Dr. Martin Luther King Dr ;;3732083;;Child Care;EXTENDED DAY;;;;;;;;;;;;;;;;;;;;;;;
491060615;CPS_Early_Childhood_Portal_scrape.csv; Firman Pre-School East;4910 S. DR MARTIN LUTHER KING JRDrive ;;3732083;;Community Partnerships;8-11 Hours, varies by facility;;;;;;;;;;;;;;;;;;;;;;;
491060615;CPS_Early_Childhood_Portal_scrape.csv; Firman Community Services - Firman House East;4910 S Dr. Martin Luther King Dr ;;3732083;;Head Start;HALF DAY/FULL DAY;;;;;;;;;;;;;;;;;;;;;;;
491060615;CPS_Early_Childhood_Portal_scrape.csv; Firman Community Services - Firman House East;4910 S Dr. Martin Luther King Dr ;;3732083;;School Age;PART DAY/FULL DAY;;;;;;;;;;;;;;;;;;;;;;;
491060615;chapin_dfss_providers_2011_070212.csv;FIRMAN COMMUNITY SERVICES FIRMAN HOUSE EAST;4910 S KING ;60615;3733400;;;;;;;FIRMAN COMMUNITY SERVICES;GRAND BOULEVARD;;;;;Ms. Carmolita Curry;Yes;No;No;7077PS(HS Collaboration with Childcare & PreK), 4144SA(Schoo;;;;;;;;;
491060615;DFSS_AgencySiteLies_2012.csv;Firman Community Services Firman House East;4910 S. King ;60615;3732083;;;;;;;Firman Community Services;;;;;;;;;;; www.firmancs.org;Marguerite Young;Ms. Earline Moore ;;;;;;
491060615;ECE Chicago Find a School scrape.csv; Firman Community Svcs East;4910 S. King Drive ;60615;3733400;;;;;;Grand Boulevard;;;;;;;;;;;;;CP;;;;;;;
491060615;purple_binder_early_childhood.csv; Firman Community Services;4910 S King Drive ;60615;3732083;;;;;;;;;;;;;;;;;;;;;;;;;;Child Care
491860638;CPS_Early_Childhood_Portal_scrape.csv; Fleming Br.;4918 W. 64Th St. ;;5352405;;Prekindergarten For All;3-4 hours;;;;;;;;;;;;;;;;;;;;;;;
491860638;ECE Chicago Find a School scrape.csv; Fleming/ Grimes Br.;4918 W. 64Th St. ;60638;5352405;;;;;;Clearing;;;;;;;;;;;;;PFA-REG;;;;;;;
492060644;chapin_dfss_providers_2011_070212.csv;HENRY BOOTH HOUSE WEST AUSTIN;4920 W MADISON ;60644;;;;;;;;HENRY BOOTH HOUSE;AUSTIN;;;;;;Yes;No;No;;;;;;;;;;
492060644;DFSS_AgencySiteLies_2012.csv;Henry Booth House West Austin;4920 W Madison ;60644;;;;;;;;Henry Booth House;;;;;;;;;;;www.henryboothhouse.org;Scott Perkins;;;;;;;
492060644;ECE Chicago Find a School scrape.csv; Lutheran Family Mission Fam Cnt;4920 W Madison ;60644;9214960;;;;;;Austin;;;;;;;;;;;;;CP;;;;;;;
492060644;purple_binder_early_childhood.csv; Lutheran Family Mission Family Center;4920 W Madison Street ;60644;2872921;;;;;;;;;;;;;;;;;;;;;;;;;;Child Care
492460632;chapin_dfss_providers_2011_070212.csv;EL HOGAR DEL NINO FCCH-ROSA LOPEZ;4924 S KEELER ;60632;5818869;;;;;;;EL HOGAR DEL NINO;ARCHER HEIGHTS;;;;;;Yes;Yes;No;5878PS(HS Collaboration with Childcare Homes), 5659IP(EHS Co;;;;;;;;;
493560615;CPS_Early_Childhood_Portal_scrape.csv; Overton CPC;4935 S. Indiana ;;5351811;;Child Parent Center;3-4 hours;;;;;;;;;;;;;;;;;;;;;;;
493560615;CPS_Early_Childhood_Portal_scrape.csv; Overton CPC;4935 S. Indiana ;;5351811;;Head Start;5-6 hours;;;;;;;;;;;;;;;;;;;;;;;
493560615;ECE Chicago Find a School scrape.csv; Overton CPC;4935 S. Indiana ;60615;5351811;;;;;;Grand Boulevard;;;;;;;;;;;;;CPC-FD;;;;;;;
493560615;purple_binder_early_childhood.csv; Overton;4935 S Indiana Avenue ;60615;5351811;;;;;;;;;;;;;;;;;;;;;;;;;;Child Parent Center
494160651;CPS_Early_Childhood_Portal_scrape.csv; Healing Temple - Healing Temple;4941 W Chicago Ave ;;2876964;;Child Care;EXTENDED DAY;;;;;;;;;;;;;;;;;;;;;;;
494160651;CPS_Early_Childhood_Portal_scrape.csv; Healing Temple - Healing Temple;4941 W Chicago Ave ;;2876964;;Head Start;HALF DAY/FULL DAY;;;;;;;;;;;;;;;;;;;;;;;
494160651;chapin_dfss_providers_2011_070212.csv;HEALING TEMPLE FCCH-EARNESTINE MOORE;4941 W CHICAGO AVE ;60651;2876964;;;;;;;HEALING TEMPLE;AUSTIN;;;;;;No;Yes;No;5981IP(EHS Collaboration Enhanced Home IP), 5982IT(Child Car;;;;;;;;;
494160651;chapin_dfss_providers_2011_070212.csv;HEALING TEMPLE HEALING TEMPLE;4941 W CHICAGO ;60651;2876964;;;;;;;HEALING TEMPLE;AUSTIN;;;;;Carole  Smoot;Yes;No;No;;;;;;;;;;
494160651;DFSS_AgencySiteLies_2012.csv;Healing Temple Healing Temple;4941 W. Chicago ;60651;2876964;;;;;;;Healing Temple;;;;;;;;;;;;Elizabeth Lockhart;Carole Smoot;;;;;;
495060625;CPS_Early_Childhood_Portal_scrape.csv; Volta;4950 N. Avers ;;5345080;;Prekindergarten For All;3-4 hours;;;;;;;;;;;;;;;;;;;;;;;
495060625;ECE Chicago Find a School scrape.csv; Volta;4950 N. Avers ;60625;5345080;;;;;;Albany Park;;;;;;;;;;;;;PFA-REG;;;;;;;
495060632;DFSS_AgencySiteLies_2012.csv;Chicago Public Schools Edwards, Richard;4950 S. LaPorte ;60632;5352000;;;;;;;Chicago Public Schools;;;;;;;;;;;www.cps.edu;Paula Cottone;Mrs. Judith Sauri;;;;;;
495060632;ECE Chicago Find a School scrape.csv; Edwards;4950 S. LaPorte ;60632;5352011;;;;;;Archer Heights;;;;;;;;;;;;;HS-HD;;;;;;;
495060651;purple_binder_early_childhood.csv; Bethel New Life;4950 W Thomas Street ;60651;4737870;;;;;;;;;;;;;;;;;;;;;;;;;;Child Care
495860609;chapin_dfss_providers_2011_070212.csv;CAROLE ROBERTSON CENTER FOR LEARNING FCCH-PATRICIA HERNANDEZ;4958 S RACINE AVE ;60609;5381198;;;;;;;CAROLE ROBERTSON CENTER FOR LEARNING;NEW CITY;;;;;Jolene Martin;Yes;No;No;5958PS(HS Collaboration with Childcare Homes), 5958IP(EHS Co;;;;;;;;;
501060651;CPS_Early_Childhood_Portal_scrape.csv; Douglass-Tubman Youth Ministries,Inc. - Douglass-Tubman Child Development Center;5010 W Chicago Ave ;;6266581;;Child Care;EXTENDED DAY;;;;;;;;;;;;;;;;;;;;;;;
501060651;CPS_Early_Childhood_Portal_scrape.csv; Douglass-Tubman Youth Ministries,Inc. - Douglass-Tubman Child Development Center;5010 W Chicago Ave ;;6266581;;Head Start;HALF DAY/FULL DAY;;;;;;;;;;;;;;;;;;;;;;;
501060651;CPS_Early_Childhood_Portal_scrape.csv; Douglass-Tubman Youth Ministries,Inc. - Douglass-Tubman Child Development Center;5010 W Chicago Ave ;;6266581;;School Age;PART DAY/FULL DAY;;;;;;;;;;;;;;;;;;;;;;;
501060651;chapin_dfss_providers_2011_070212.csv;DOUGLASS-TUBMAN YOUTH MINISTRIES,INC. DOUGLASS-TUBMAN CHILD DEV CTR;5010 W CHICAGO AVE ;60651;6266581;;;;;;;DOUGLASS-TUBMAN YOUTH MINISTRIES,INC.;AUSTIN;;;;;Mrs. Andrea Young;No;No;No;2101SA(School Age (SA)), 2100PS(Child Care PS Center);;;;;;;;;
501060651;purple_binder_early_childhood.csv; Douglas-Tubman Child Development Center;5010 W Chicago Avenue ;60651;2683053;;;;;;;;;;;;;;;;;;;;;;;;;;Child Care
501860639;chapin_dfss_providers_2011_070212.csv;ERIE NEIGHBORHOOD HOUSE FCCH-MARISELA MARTINEZ SITE;5018 W DRUMMOND PL ;60639;4322213;;;;;;;ERIE NEIGHBORHOOD HOUSE;BELMONT CRAGIN;;;;;Cythnia Suarez;No;Yes;No;6111IP(EHS Collaboration Enhanced Home IP), 5693IT(Child Car;;;;;;;;;
502460609;CPS_Early_Childhood_Portal_scrape.csv; Daley;5024 S. Wolcott ;;5359091;;Prekindergarten For All;3-4 hours;;;;;;;;;;;;;;;;;;;;;;;
502460609;chapin_dfss_providers_2011_070212.csv;CHICAGO PUBLIC SCHOOLS DALEY, RICHARD J.;5024 S WOLCOTT AVE ;60609;5359091;;;;;;;CHICAGO PUBLIC SCHOOLS;NEW CITY;;;;;Rhonda Hoskins;Yes;No;No;;;;;;;;;;
502460609;DFSS_AgencySiteLies_2012.csv;Chicago Public Schools Daley, Richard J.;5024 S Wolcott Ave ;60609;5359091;;;;;;;Chicago Public Schools;;;;;;;;;;;www.cps.edu;Paula Cottone;Rhonda Hoskins;;;;;;
502460609;ECE Chicago Find a School scrape.csv; Daley;5024 S. Wolcott ;60609;5359091;;;;;;New City;;;;;;;;;;;;;HS-HD;;;;;;;
502560630;CPS_Early_Childhood_Portal_scrape.csv; Beaubien;5025 N. Laramie ;;5343500;;Prekindergarten For All;3-4 hours;;;;;;;;;;;;;;;;;;;;;;;
502560630;ECE Chicago Find a School scrape.csv; Beaubien;5025 N. Laramie ;60630;5343500;;;;;;Jefferson Park;;;;;;;;;;;;;PFA-REG TS;;;;;;;
503560644;purple_binder_early_childhood.csv; Trinity Resources Progressive True Vine;5035 W Ohio Street ;60644;6268254;;;;;;;;;;;;;;;;;;;;;;;;;;Child Care
504460615;CPS_Early_Childhood_Portal_scrape.csv; Ounce of Prevention Fund Educare;5044 S. Wabash ;;9242334;;Community Partnerships;8-11 Hours, varies by facility;;;;;;;;;;;;;;;;;;;;;;;
504460615;chapin_ounce_providers_2011_071112.csv;Ounce of Prevention Fund (Directly Operated Programs) Educare;5044 S. Wabash Ave ;60615;9242334;;;;;Ounce of Prevention Fund (Directly Operated Programs);Fuller Park, Grand Boulevard, Kenwood, New City, Oakland, Washington Park;64  Early Head Start  85  Head Start  ;Early Head Start Full Day/Full Year   Head Start  Full Day/Full Year ;64;85;;;;;;;;;;;;;;;;
504460615;ECE Chicago Find a School scrape.csv; Ounce of Prev EC Center;5044 S Wabash ;60615;9242334;;;;;;Grand Boulevard;;;;;;;;;;;;;CP;;;;;;;
504460615;ECE Chicago Find a School scrape.csv; Ounce of Prev EC Center I/T;5044 S Wabash ;60615;9242334;;;;;;Grand Boulevard;;;;;;;;;;;;;CP;;;;;;;
504460615;Ounce of Prevention - Site Locations.csv; Ounce of Prevention Fund - Educare of Chicago;5044 S. Wabash Ave ;60615;9242334;;;;;;;;;;;;;;;;;;;;;;;Grand Boulevard Community  Serves children ages 0-5;;;
504460615;purple_binder_early_childhood.csv; Educare Center;5044 S Wabash Avenue ;60615;9242334;;;;;;;;;;;;;;;;;;;;;;;;;;Child Care
505160630;CPS_Early_Childhood_Portal_scrape.csv; Palmer;5051 N. Kenneth ;;5343704;;Prekindergarten For All;3-4 hours;;;;;;;;;;;;;;;;;;;;;;;
505160630;ECE Chicago Find a School scrape.csv; Palmer;5051 N. Kenneth ;60630;5343704;;;;;;Albany Park;;;;;;;;;;;;;PFA-REG;;;;;;;
505560609;ECE Chicago Find a School scrape.csv; Attucks;5055 S. State St. ;60609;5351270;;;;;;Douglas;;;;;;;;;;;;;PFA-REG;;;;;;;
508060644;purple_binder_early_childhood.csv; YMCA West Side;5080 W Harrison Street ;60644;9553100;;;;;;;;;;;;;;;;;;;;;;;;;;Child Care
511460609;NAEYC_accreditation.csv; St. John Of God;5114 South Elizabeth 1st Floor ;60609;9242232;;;;;;;;;;;;;;;;;;;;;;11/01/15;725529;snewsome@catholiccharities.net;;
512060609;purple_binder_early_childhood.csv; Centers for New Horizons Robert Taylor II;5120 S Federal Street ;60609;6240666;;;;;;;;;;;;;;;;;;;;;;;;;;Child Care
512060638;NAEYC_accreditation.csv; Jane Addams Hull House Association LeClaire Ryder Head Start;5120 West 44th Street  ;60638;4048229;;;;;;;;;;;;;;;;;;;;;;07/31/13;486668;tturner@hullhouse.org;;
512060640;CPS_Early_Childhood_Portal_scrape.csv; South East Asia Center Broadway;5120 N. Broadway ;;9890960;;Community Partnerships;8-11 Hours, varies by facility;;;;;;;;;;;;;;;;;;;;;;;
512060640;CPS_Early_Childhood_Portal_scrape.csv; Goudy;5120 N. Winthrop ;;5342480;;Head Start;5-6 hours;;;;;;;;;;;;;;;;;;;;;;;
512060640;CPS_Early_Childhood_Portal_scrape.csv; South East Asia Center - South-East Asia Center(Broadway);5120 N Broadway Ave ;;;;School Age;PART DAY/FULL DAY;;;;;;;;;;;;;;;;;;;;;;;
512060640;chapin_dfss_providers_2011_070212.csv;CHICAGO PUBLIC SCHOOLS GOUDY, WILLIAM C.;5120 N WINTHROP ;60640;5342480;;;;;;;CHICAGO PUBLIC SCHOOLS;UPTOWN;;;;;Pamela S.  Brandt;Yes;No;No;;;;;;;;;;
512060640;chapin_dfss_providers_2011_070212.csv;SOUTH EAST ASIA CENTER SOUTH EAST ASIA CENTER (BROADWAY);5120 N BROADWAY AVE ;60640;9897433;;;;;;;SOUTH EAST ASIA CENTER;UPTOWN;;;;;Loipin Chin;No;No;Yes;2779PS(Child Care PS Center & State Pre-K), 2779SA(School Ag;;;;;;;;;
512060640;DFSS_AgencySiteLies_2012.csv;Chicago Public Schools Goudy, William C.;5120 N. Winthrop ;60640;5342480;;;;;;;Chicago Public Schools;;;;;;;;;;;www.cps.edu;Paula Cottone;Pamela S. Brandt;;;;;;
512060640;DFSS_AgencySiteLies_2012.csv;South East Asia Center South East Asia Center (Broadway);5120 N. Broadway Ave. ;60640;9897433;;;;;;;South East Asia Center;;;;;;;;;;;www.se-asiacenter.org;Peter Porr;Loipin Chin;;;;;;
512060640;ECE Chicago Find a School scrape.csv; Goudy;5120 N. Winthrop ;60640;5342480;;;;;;Uptown;;;;;;;;;;;;;HS-HD;;;;;;;
