Id;Source;Site_name;Address;Zip;Phone;Fax;Program_Name;Length_of_Day;IDHS_Provider_ID;Agency;Neighborhood;Funded_Enrollment;Program_Option;Number_per_Site_EHS;Number_per_Site_HS;Director;Head_Start_Fund;Eearly_Head_Start_Fund;CC_fund;Progmod;Website;Executive_Director;Center_Director;ECE_Available_Programs;NAEYC_Valid_Until;NAEYC_Program_Id;Email_Address;Ounce_of_Prevention_Description;Purple_binder_service_type;Column;Column2;PAIR_ID;SCORE;LABEL
340160625;CPS_Early_Childhood_Portal_scrape.csv;Albany Park Community Center - Albany Park Day Care - Ainslie;3401 W Ainslie St;;5395907;;Child Care;EXTENDED DAY;;;;;;;;;;;;;;;;;;;;;;;;ainslie-ainslie)_11;;
113460640;ECE Chicago Find a School scrape.csv;South East Asia Ainslie;1134 W. Ainslie St;60640;9896927;;;;;;Uptown;;;;;;;;;;;;;CP;;;;;;;;ainslie-ainslie)_11;0.35961610839292435;no
84560621;CPS_Early_Childhood_Portal_scrape.csv;Salvation Army - EHS Family Child Homes;845 W 69th St;;3824700;;Early Head Start;EXTENDED DAY;;;;;;;;;;;;;;;;;;;;;;;;homes_0;;
1030;CPS_Early_Childhood_Portal_scrape.csv;Hull House Association - Child Dev. Central Office- Hull House CDS-Homes;1030 W Van Buren St;;9068600;;Early Head Start;EXTENDED DAY;;;;;;;;;;;;;;;;;;;;;;;;homes_0;0.4209634926608957;no
95060637;CPS_Early_Childhood_Portal_scrape.csv;The Woodlawn Organization - T.W.O. Early Child Development;950 E 61ST St;;2885840;;Child Care;EXTENDED DAY;;;;;;;;;;;;;;;;;;;;;;;; child development_9;;
321260657;purple_binder_early_childhood.csv;Hull House Association Child Development;3212 N Broadway Street;60657;5345814;;;;;;;;;;;;;;;;;;;;;;;;;;Child Care; child development_9;0.5935265336846067;no
23460628;chapin_dfss_providers_2011_070212.csv;EASTER SEALS SOCIETY OF METROPOLITAN CHICAGO ALLISON'S INFANT & TODDLER CENTER;234 E 114TH ST;60628;8404502;;;;;;;EASTER SEALS SOCIETY OF METROPOLITAN CHICAGO;ROSELAND;;;;;Allison Caldwell;No;Yes;No;;;;;;;;;;;easter seals society of metropolitan chicago allison's infant & toddler center_0;;
23460628;DFSS_AgencySiteLies_2012.csv;Easter Seals Society of Metropolitan Chicago Allison's Infant & Toddler Center;234 E 114th St;60628;8404502;;;;;;;Easter Seals Society of Metropolitan Chicago;;;;;;;;;;;www.easterseaslchicago.org;Barbara Zawacki;Allison Caldwell;;;;;;;easter seals society of metropolitan chicago allison's infant & toddler center_0;1.0;yes
271060617;purple_binder_early_childhood.csv;YMCA Bowen School;2710 E 89th Street;60617;9330166;;;;;;;;;;;;;;;;;;;;;;;;;;Child Care;n school-n school)_1;;
50160644;purple_binder_early_childhood.csv;YMCA Austin School;501 N Central Avenue;60644;2879120;;;;;;;;;;;;;;;;;;;;;;;;;;Child Care;n school-n school)_1;0.7602559277380504;no
130060619;CPS_Early_Childhood_Portal_scrape.csv;Easter Seals Society of Metropolitan Chicago - Stepping Stones Early/Childhood Lear;1300 E 75th St;;4930000;;Child Care;EXTENDED DAY;;;;;;;;;;;;;;;;;;;;;;;;easter seals society of metropolitan chicago - stepping stones early/childhood lear_0;;
130060619;CPS_Early_Childhood_Portal_scrape.csv;Easter Seals Society of Metropolitan Chicago - Stepping Stones Early/Childhood Lear;1300 E 75th St;;4930000;;Head Start;HALF DAY/FULL DAY;;;;;;;;;;;;;;;;;;;;;;;;easter seals society of metropolitan chicago - stepping stones early/childhood lear_0;1.0;yes
305960622;chapin_ounce_providers_2011_071112.csv;EHS Home Based Program;3059 W. Augusta;60622;4754232;;;;;;;;EHS Home-Based;24;--;;;;;;;;;;;;;;;;; program_2;;
222260647;CPS_Early_Childhood_Portal_scrape.csv;Casa Central - Casa Infantil Child Development Program;2222 N. Kedzie Ave.;;7721170;;Community Partnerships;8-11 Hours, varies by facility;;;;;;;;;;;;;;;;;;;;;;;; program_2;0.3276251411366202;no
290560618;CPS_Early_Childhood_Portal_scrape.csv;Mary Crane League - Mary Crane - North;2905 N Leavitt St;;9753322;;Child Care;EXTENDED DAY;;;;;;;;;;;;;;;;;;;;;;;;rth_19;;
1500;CPS_Early_Childhood_Portal_scrape.csv;Marcy Newberry Association - New Birth;1500 W 69th St;;4710699;;Child Care;EXTENDED DAY;;;;;;;;;;;;;;;;;;;;;;;;rth_19;0.6496048174633045;no
302060655;ECE Chicago Find a School scrape.csv;Keller;3020 W. 108th St.;60655;5352636;;;;;;Mount Greenwood;;;;;;;;;;;;;CP;;;;;;;;leod-ler_42;;
421460653;ECE Chicago Find a School scrape.csv;Fuller;4214 S. St Lawrence;60653;5351687;;;;;;Grand Boulevard;;;;;;;;;;;;;HS-HD;;;;;;;;leod-ler_42;0.7277004140007527;no
325560647;CPS_Early_Childhood_Portal_scrape.csv;Christopher House - Christoper House - Logan Square;3255 W Altgeld St;;2354073;;Child Care;EXTENDED DAY;;;;;;;;;;;;;;;;;;;;;;;;christopher house - christoper house - logan square_1;;
325560647;CPS_Early_Childhood_Portal_scrape.csv;Christopher House - Christoper House - Logan Square;3255 W Altgeld St;;2354073;;School Age;PART DAY/FULL DAY;;;;;;;;;;;;;;;;;;;;;;;;christopher house - christoper house - logan square_1;1.0;yes
